VARIABLES="Period (s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Diffraction force - beta =   0.000 deg",I=    50,F=POINT
 6.3633  0.380275E+03  0.477013E-04  0.851816E+03  0.305791E-05  0.648168E+02  0.527198E-12    1.91 -111.14  -48.80 -216.80    1.91 -114.06
 6.5653  0.383190E+03  0.641886E-04  0.816385E+03  0.773843E-05  0.649578E+02  0.217733E-11    2.90   -4.01  -45.22  -66.52    2.90 -172.59
 6.7673  0.384404E+03  0.459921E-04  0.782467E+03  0.312771E-04  0.647955E+02  0.106488E-11    4.10   72.48  -41.51   52.58    4.10    4.02
 6.9694  0.384038E+03  0.510268E-04  0.749985E+03  0.365515E-04  0.643519E+02  0.109749E-11    5.53 -228.72  -37.65   89.61    5.53   26.84
 7.1714  0.382212E+03  0.973444E-04  0.719139E+03  0.308239E-04  0.636892E+02  0.551306E-12    7.19 -266.84  -33.65  -94.98    7.18 -174.64
 7.3735  0.379098E+03  0.112997E-03  0.689737E+03  0.109926E-04  0.628323E+02  0.146317E-11    9.09   71.99  -29.50   68.58    9.08  -13.48
 7.5755  0.374890E+03  0.684608E-04  0.661603E+03  0.153444E-04  0.617920E+02  0.106966E-11   11.23 -178.23  -25.22   75.64   11.22   48.36
 7.7776  0.369778E+03  0.303125E-04  0.634728E+03  0.957683E-05  0.606029E+02  0.960438E-12   13.62 -201.15  -20.80   71.04   13.61 -205.76
 7.9796  0.363901E+03  0.965256E-04  0.608987E+03  0.317087E-05  0.592878E+02  0.132686E-12   16.25   77.01  -16.25  -75.15   16.25 -125.25
 8.1816  0.357396E+03  0.640827E-04  0.584471E+03  0.171366E-04  0.578884E+02  0.168425E-12   19.13 -152.68  -11.56 -265.74   19.13 -177.88
 8.3837  0.350367E+03  0.109087E-03  0.561232E+03  0.465578E-04  0.564517E+02  0.143539E-11   22.26   88.06   -6.72  -96.78   22.26 -191.08
 8.5857  0.342963E+03  0.114923E-03  0.539009E+03  0.491264E-04  0.549690E+02  0.208087E-12   25.63  -83.34   -1.76  -96.59   25.61 -264.61
 8.7878  0.335307E+03  0.690595E-04  0.517748E+03  0.149141E-04  0.534503E+02  0.104123E-11   29.23  -79.98    3.35 -120.22   29.21 -178.66
 8.9898  0.327480E+03  0.114379E-04  0.497395E+03  0.136343E-04  0.519125E+02  0.708989E-12   33.05   55.43    8.58  -94.20   33.04  -49.45
 9.1918  0.319549E+03  0.629607E-04  0.477892E+03  0.231972E-04  0.503637E+02  0.653954E-12   37.10  -39.10   13.94  -79.39   37.08 -245.78
 9.3939  0.311579E+03  0.203018E-04  0.459274E+03  0.187030E-04  0.488228E+02  0.338909E-12   41.35 -260.90   19.44  -99.99   41.35 -260.19
 9.5959  0.303615E+03  0.316661E-04  0.441665E+03  0.165454E-04  0.473325E+02  0.124564E-11   45.84   45.00   25.09  -84.65   45.83   15.72
 9.7980  0.295711E+03  0.282017E-04  0.424815E+03  0.156790E-04  0.458717E+02  0.766925E-12   50.54 -170.23   30.88 -251.14   50.50  -50.26
10.0000  0.287880E+03  0.714323E-04  0.408683E+03  0.127583E-04  0.444289E+02  0.757197E-12   55.43  -55.01   36.80 -240.83   55.39  -87.98
